entity|importance|category|chunk_id|type
Pandemic Fund at the World Bank|4|organisation|c410a5c9df2e4df2998153d58af3836c|concept
IHR|3|concept|c410a5c9df2e4df2998153d58af3836c|concept
Accountability|4|misc|c410a5c9df2e4df2998153d58af3836c|concept
Accord|3|concept|c410a5c9df2e4df2998153d58af3836c|concept
external accountability mechanisms|4|misc|c410a5c9df2e4df2998153d58af3836c|concept
independent assessment of countries|3|concept|c410a5c9df2e4df2998153d58af3836c|concept
Accord|4|event|c134e5a2812f44f9803c15d7591765a0|concept
WHO|3|organisation|c134e5a2812f44f9803c15d7591765a0|concept
Accord|4|event|42c1df8501c946858051c31ad52c5ec5|concept
IHR|3|concept|42c1df8501c946858051c31ad52c5ec5|concept
WHO|4|organisation|42c1df8501c946858051c31ad52c5ec5|concept
International Atomic Energy Agency (IAEA)|3|organisation|42c1df8501c946858051c31ad52c5ec5|concept
public space|3|misc|42c1df8501c946858051c31ad52c5ec5|concept
independent assessment body|4|organisation|42c1df8501c946858051c31ad52c5ec5|concept
monitoring information|3|misc|42c1df8501c946858051c31ad52c5ec5|concept
pandemics|4|event|42c1df8501c946858051c31ad52c5ec5|concept
governments|3|misc|42c1df8501c946858051c31ad52c5ec5|concept
Global Public Health Convention|5|event|d4d6f26b296047fabb3e74cec31ebc41|concept
countries across the world|4|organisation|d4d6f26b296047fabb3e74cec31ebc41|concept
resources to deliver|3|condition|d4d6f26b296047fabb3e74cec31ebc41|concept
Dame Barbara Stocking|4|person|d4d6f26b296047fabb3e74cec31ebc41|concept
Panel for a Global Public Health Convention|3|organisation|d4d6f26b296047fabb3e74cec31ebc41|concept
investments in future|3|concept|f21a0cbf122d44f599f9b52ccec5f521|concept
Ensuring Equitable Supply and Access|2|concept|f21a0cbf122d44f599f9b52ccec5f521|concept
Critical Vaccines|3|concept|f21a0cbf122d44f599f9b52ccec5f521|concept
Pandemics|4|concept|f21a0cbf122d44f599f9b52ccec5f521|concept
COV AX Aurélia Nguyen|2|misc|f21a0cbf122d44f599f9b52ccec5f521|concept
pandemic|5|event|7aa69007cfd442f9822d3663a6c4c65a|concept
health systems|4|concept|7aa69007cfd442f9822d3663a6c4c65a|concept
COVAX Facility|3|organisation|7aa69007cfd442f9822d3663a6c4c65a|concept
Access to COVID-19 Tools Accelerator (ACT-A)|4|concept|7aa69007cfd442f9822d3663a6c4c65a|concept
COVAX|3|organisation|7aa69007cfd442f9822d3663a6c4c65a|concept
Coalition for Epidemic Preparedness Innovations (CEPI)|2|organisation|7aa69007cfd442f9822d3663a6c4c65a|concept
World Health Organization (WHO)|4|organisation|7aa69007cfd442f9822d3663a6c4c65a|concept
United Nations Children’s Fund (UNICEF)|3|organisation|7aa69007cfd442f9822d3663a6c4c65a|concept
Gavi, the Vaccine Alliance|5|organisation|3c76d07238434794b3a491927cbf70e4|concept
COVAX AMC|4|organisation|3c76d07238434794b3a491927cbf70e4|concept
Imperial College London|3|organisation|3c76d07238434794b3a491927cbf70e4|concept
COVID-19 vaccinations|4|concept|3c76d07238434794b3a491927cbf70e4|concept
conditions|3|condition|3c76d07238434794b3a491927cbf70e4|concept
pandemic|4|concept|3c76d07238434794b3a491927cbf70e4|concept
Accelerating Global Health|3|event|80889f7b0eaa4090934f8879b238d535|concept
Pathways to Health Equity for the G20|4|concept|80889f7b0eaa4090934f8879b238d535|concept
procurement, distribution, administration of COVID-19 vaccines|5|misc|80889f7b0eaa4090934f8879b238d535|concept
COVID-19|4|event|80889f7b0eaa4090934f8879b238d535|concept
COVAX|3|organisation|80889f7b0eaa4090934f8879b238d535|concept
vaccine makers|4|organisation|80889f7b0eaa4090934f8879b238d535|concept
bilateral customers|3|misc|80889f7b0eaa4090934f8879b238d535|concept
vaccine candidates|5|concept|4d3ad7c8415c4169b650d2f3754e263d|concept
COVAX|4|organisation|4d3ad7c8415c4169b650d2f3754e263d|concept
export bans|3|misc|4d3ad7c8415c4169b650d2f3754e263d|concept
global health agencies|4|organisation|4d3ad7c8415c4169b650d2f3754e263d|concept
COVAX Facility|3|organisation|4d3ad7c8415c4169b650d2f3754e263d|concept
recommendations|4|misc|895f9a65a28c496595bb295596c4fdd1|concept
supply|4|concept|895f9a65a28c496595bb295596c4fdd1|concept
demand|4|concept|895f9a65a28c496595bb295596c4fdd1|concept
R&D|5|concept|895f9a65a28c496595bb295596c4fdd1|concept
manufacturing|4|concept|895f9a65a28c496595bb295596c4fdd1|concept
country-level challenges|5|misc|895f9a65a28c496595bb295596c4fdd1|concept
other factors|4|misc|895f9a65a28c496595bb295596c4fdd1|concept
at-risk investments|5|misc|895f9a65a28c496595bb295596c4fdd1|concept
funding|4|concept|895f9a65a28c496595bb295596c4fdd1|concept
vaccines|5|object|895f9a65a28c496595bb295596c4fdd1|concept
R&D stage|4|misc|895f9a65a28c496595bb295596c4fdd1|concept
COVAX|4|organisation|19c06e9b16344d5f98aae0410d469d9c|concept
pandemic vaccine pool (PVP)|3|organisation|19c06e9b16344d5f98aae0410d469d9c|concept
lower-income countries|2|place|19c06e9b16344d5f98aae0410d469d9c|concept
vaccine candidates|3|misc|19c06e9b16344d5f98aae0410d469d9c|concept
COVID-19|4|event|19c06e9b16344d5f98aae0410d469d9c|concept
multinational trade-facilitation measures|3|organisation|19c06e9b16344d5f98aae0410d469d9c|concept
life-saving equipment|5|object|f85f8a3779d1458a97ac8d5f13f782d0|concept
health emergencies|4|event|f85f8a3779d1458a97ac8d5f13f782d0|concept
exemptions and waivers|3|concept|f85f8a3779d1458a97ac8d5f13f782d0|concept
trade barriers|3|condition|f85f8a3779d1458a97ac8d5f13f782d0|concept
life-saving medical countermeasures and materials|4|object|f85f8a3779d1458a97ac8d5f13f782d0|concept
low- and middle-income countries|3|organisation|f85f8a3779d1458a97ac8d5f13f782d0|concept
humanitarian situations|4|event|f85f8a3779d1458a97ac8d5f13f782d0|concept
vaccines|5|object|f85f8a3779d1458a97ac8d5f13f782d0|concept
vaccinations|4|concept|f85f8a3779d1458a97ac8d5f13f782d0|concept
strong, reliable health systems|4|concept|f85f8a3779d1458a97ac8d5f13f782d0|concept
early R&D|3|concept|f85f8a3779d1458a97ac8d5f13f782d0|concept
scaling-up manufacturing|4|concept|f85f8a3779d1458a97ac8d5f13f782d0|concept
securing deals|3|concept|f85f8a3779d1458a97ac8d5f13f782d0|concept
consistent policy guidance|3|concept|f85f8a3779d1458a97ac8d5f13f782d0|concept
operational, logistical, regulatory, and legal frameworks|4|concept|f85f8a3779d1458a97ac8d5f13f782d0|concept
ancillary supplies|3|object|f85f8a3779d1458a97ac8d5f13f782d0|concept
cold chain|3|object|f85f8a3779d1458a97ac8d5f13f782d0|concept
safe injection equipment|3|object|f85f8a3779d1458a97ac8d5f13f782d0|concept
international freight and logistics|3|organisation|f85f8a3779d1458a97ac8d5f13f782d0|concept
in-country delivery requirements|5|event|7b0a4ad9437f45829cb41258f4f78a71|concept
personal protective equipment for healthcare workers|4|object|7b0a4ad9437f45829cb41258f4f78a71|concept
countries lacking infrastructure|3|condition|7b0a4ad9437f45829cb41258f4f78a71|concept
Gavi and WHO|4|organisation|7b0a4ad9437f45829cb41258f4f78a71|concept
Accelerating Global Health|3|event|4b38bb5b7e7343dc87ddf380cad54595|concept
Pathways to Health Equity for the G20|3|event|4b38bb5b7e7343dc87ddf380cad54595|concept
cold chains|3|object|4b38bb5b7e7343dc87ddf380cad54595|concept
immunisation programmes|4|concept|4b38bb5b7e7343dc87ddf380cad54595|concept
Gavi|3|organisation|4b38bb5b7e7343dc87ddf380cad54595|concept
lower-income countries' routine immunisation programmes|4|concept|4b38bb5b7e7343dc87ddf380cad54595|concept
COVID-19 vaccines|3|object|4b38bb5b7e7343dc87ddf380cad54595|concept
extra burden of delivering COVID-19 vaccines to other populations|2|misc|4b38bb5b7e7343dc87ddf380cad54595|concept
efforts to vaccinate mostly children|3|misc|4b38bb5b7e7343dc87ddf380cad54595|concept
relatively little decline in routine immunisation|2|misc|4b38bb5b7e7343dc87ddf380cad54595|concept
vaccinators, doctors and nurses were burned out|3|misc|4b38bb5b7e7343dc87ddf380cad54595|concept
immunisation in Gavi-implementing countries|2|misc|4b38bb5b7e7343dc87ddf380cad54595|concept
COVID-19|5|event|c34ec7b0256847df9acfe84b02149252|concept
Health system strengthening investments|4|concept|c34ec7b0256847df9acfe84b02149252|concept
Primary healthcare services|3|concept|c34ec7b0256847df9acfe84b02149252|concept
Cold chain|2|object|c34ec7b0256847df9acfe84b02149252|concept
Vaccine track-and-trace|3|concept|c34ec7b0256847df9acfe84b02149252|concept
Human resources|2|object|c34ec7b0256847df9acfe84b02149252|concept
Data monitoring systems|3|concept|c34ec7b0256847df9acfe84b02149252|concept
COVID-19 vaccine Delivery Support (CDS)|4|organisation|c34ec7b0256847df9acfe84b02149252|concept
Gavi|3|organisation|c34ec7b0256847df9acfe84b02149252|concept
COVAX|5|organisation|0e304bf478d4428e929abad5c796e272|concept
Gavi-implementing countries|4|place|0e304bf478d4428e929abad5c796e272|concept
routine immunisation|3|concept|0e304bf478d4428e929abad5c796e272|concept
COVID-19 vaccine coverage|4|condition|0e304bf478d4428e929abad5c796e272|concept
pandemic preparedness|3|concept|0e304bf478d4428e929abad5c796e272|concept
most vulnerable people|4|misc|0e304bf478d4428e929abad5c796e272|concept
equitable supply of vaccines|3|concept|0e304bf478d4428e929abad5c796e272|concept
vaccine nationalism|5|misc|27df9e2ca46243ad8d81ff5a54a1fb00|concept
hoarding|4|misc|27df9e2ca46243ad8d81ff5a54a1fb00|concept
export bans|3|misc|27df9e2ca46243ad8d81ff5a54a1fb00|concept
COVAX Facility|5|organisation|27df9e2ca46243ad8d81ff5a54a1fb00|concept
H1N1 pandemic|4|event|27df9e2ca46243ad8d81ff5a54a1fb00|concept
vaccines|5|object|27df9e2ca46243ad8d81ff5a54a1fb00|concept
lower-income economies|3|misc|27df9e2ca46243ad8d81ff5a54a1fb00|concept
wealthier nations|4|misc|27df9e2ca46243ad8d81ff5a54a1fb00|concept
COVID-19 vaccines|5|object|27df9e2ca46243ad8d81ff5a54a1fb00|concept
vaccine-candidates|4|misc|27df9e2ca46243ad8d81ff5a54a1fb00|concept
technology platforms|3|misc|27df9e2ca46243ad8d81ff5a54a1fb00|concept
regulatory approval|3|event|27df9e2ca46243ad8d81ff5a54a1fb00|concept
large-scale investments|4|misc|27df9e2ca46243ad8d81ff5a54a1fb00|concept
COVAX portfolio|4|organisation|27df9e2ca46243ad8d81ff5a54a1fb00|concept
191 countries|2|misc|27df9e2ca46243ad8d81ff5a54a1fb00|concept
COVAX|5|organisation|55b09ec3abaf48e98355f0d359b46caf|concept
finite supply of vaccine doses|3|condition|55b09ec3abaf48e98355f0d359b46caf|concept
H1N1 vaccine|2|concept|55b09ec3abaf48e98355f0d359b46caf|concept
Accelerating Global Health|4|event|d4a21a81d74e413ba4d349be59d06804|concept
Pathways to Health Equity for the G20|3|event|d4a21a81d74e413ba4d349be59d06804|concept
COVID-19 pandemic|5|event|d4a21a81d74e413ba4d349be59d06804|concept
vaccine manufacturing|4|object|d4a21a81d74e413ba4d349be59d06804|concept
African continent|2|place|d4a21a81d74e413ba4d349be59d06804|concept
Africa Center for Disease Control|2|organisation|d4a21a81d74e413ba4d349be59d06804|concept
Memorandum of Understanding|3|event|d4a21a81d74e413ba4d349be59d06804|concept
Gavi|2|organisation|d4a21a81d74e413ba4d349be59d06804|concept
African Union Commission|2|organisation|d4a21a81d74e413ba4d349be59d06804|concept
sustainable regional vaccine manufacturing|4|event|d07c2d94246f4df795c7be6170d78db1|concept
commitments to increase political, financial, and technical investments in immunisation programmes|4|event|d07c2d94246f4df795c7be6170d78db1|concept
models for ensuring lower-income countries receive vaccine doses|3|event|d07c2d94246f4df795c7be6170d78db1|concept
manufacturers' transparency about their order books|4|event|d07c2d94246f4df795c7be6170d78db1|concept
supply inequities among countries|3|condition|d07c2d94246f4df795c7be6170d78db1|concept
contingent financing for pandemic response|4|event|d07c2d94246f4df795c7be6170d78db1|concept
COVAX AMC funding|3|document|d07c2d94246f4df795c7be6170d78db1|concept
PVP funding|3|organisation|d7a7913899f445febee6bff8c39924bc|concept
variant-containing vaccine boosters|4|object|d7a7913899f445febee6bff8c39924bc|concept
2024–25 COVID-19 programme|4|event|d7a7913899f445febee6bff8c39924bc|concept
Gavi board|3|organisation|d7a7913899f445febee6bff8c39924bc|concept
COVAX|5|organisation|54d16e33cfb44174b61da49448891293|concept
Gavi, the Vaccine Alliance|4|organisation|54d16e33cfb44174b61da49448891293|concept
Aurélia Nguyen|3|person|54d16e33cfb44174b61da49448891293|concept
Global Vaccine Library|4|concept|0cd02fb084694bbca463dd2b114f1d48|concept
coronavirus|5|organisation|0cd02fb084694bbca463dd2b114f1d48|concept
spike protein|4|concept|0cd02fb084694bbca463dd2b114f1d48|concept
neutralising antibodies|3|concept|0cd02fb084694bbca463dd2b114f1d48|concept
RSV|4|organisation|0cd02fb084694bbca463dd2b114f1d48|concept
SARS|4|organisation|0cd02fb084694bbca463dd2b114f1d48|concept
MERS|4|organisation|0cd02fb084694bbca463dd2b114f1d48|concept
security bodies|3|organisation|d7a7df237a9b4336b1e40e727ecdd5c9|concept
smallpox vaccines|4|object|d7a7df237a9b4336b1e40e727ecdd5c9|concept
Mpox|3|concept|d7a7df237a9b4336b1e40e727ecdd5c9|concept
2022 Mpox epidemic|4|event|d7a7df237a9b4336b1e40e727ecdd5c9|concept
Accelerating Global Health|3|event|7a57613761f64fe58fbc8709d4670828|concept
Pathways to Health Equity for the G20|3|event|7a57613761f64fe58fbc8709d4670828|concept
Viral Threats|3|concept|7a57613761f64fe58fbc8709d4670828|concept
Infectious Pathogens|4|concept|7a57613761f64fe58fbc8709d4670828|concept
Containment Race|3|event|7a57613761f64fe58fbc8709d4670828|concept
Pandemic Control|4|concept|7a57613761f64fe58fbc8709d4670828|concept
Coalition for Epidemic Preparedness Innovations (CEPI)|3|organisation|7a57613761f64fe58fbc8709d4670828|concept
One World Vaccine Library|4|document|7a57613761f64fe58fbc8709d4670828|concept
global community|5|organisation|58efa624d5c4493eb9e220aab122325c|concept
health security|4|concept|58efa624d5c4493eb9e220aab122325c|concept
pandemic threats|3|event|58efa624d5c4493eb9e220aab122325c|concept
vaccines|4|object|58efa624d5c4493eb9e220aab122325c|concept
dangerous and deadly outbreaks|2|event|58efa624d5c4493eb9e220aab122325c|concept
incipient pandemic|3|event|58efa624d5c4493eb9e220aab122325c|concept
potential opponents|2|concept|58efa624d5c4493eb9e220aab122325c|concept
viruses from around 25 viral families|3|organisation|58efa624d5c4493eb9e220aab122325c|concept
One World Vaccine Library|3|misc|dc468156950d4a4d8a8878e75499afa3|concept
viral-family-based prototype vaccine approach|4|concept|dc468156950d4a4d8a8878e75499afa3|concept
Accelerating Global Health|5|event|0b579a5b26e9407a902cb29529089cee|concept
Pathways to Health Equity for the G20|4|event|0b579a5b26e9407a902cb29529089cee|concept
novel paramyxovirus|3|concept|0b579a5b26e9407a902cb29529089cee|concept
One World Vaccine Library|5|object|0b579a5b26e9407a902cb29529089cee|concept
Develop vaccines|3|event|cc987a2a91d846c5a1d952ecc309cc62|concept
Researchers|2|organisation|cc987a2a91d846c5a1d952ecc309cc62|concept
New outbreak and virus|2|event|cc987a2a91d846c5a1d952ecc309cc62|concept
Genome sequencing|3|concept|cc987a2a91d846c5a1d952ecc309cc62|concept
One World Vaccine Library|4|object|cc987a2a91d846c5a1d952ecc309cc62|concept
CEPI|3|organisation|cc987a2a91d846c5a1d952ecc309cc62|concept
Virus families|2|concept|cc987a2a91d846c5a1d952ecc309cc62|concept
Disease X|3|concept|cc987a2a91d846c5a1d952ecc309cc62|concept
Vaccine library candidates|3|object|cc987a2a91d846c5a1d952ecc309cc62|concept
clinical testing|4|event|f82e8abf722e423ba48ded1798296b13|concept
safety|3|condition|f82e8abf722e423ba48ded1798296b13|concept
immunogenicity|4|concept|f82e8abf722e423ba48ded1798296b13|concept
platform|3|object|f82e8abf722e423ba48ded1798296b13|concept
antigens|2|object|f82e8abf722e423ba48ded1798296b13|concept
lead candidates|4|organisation|f82e8abf722e423ba48ded1798296b13|concept
families|3|misc|f82e8abf722e423ba48ded1798296b13|concept
clinical proof of concept|4|concept|f82e8abf722e423ba48ded1798296b13|concept
One World Vaccine Library|5|object|8cb3bc020aed4d0a86a05c1f658e2708|concept
100 Days Mission|4|event|8cb3bc020aed4d0a86a05c1f658e2708|concept
CEPI's 100 Days Mission|3|concept|8cb3bc020aed4d0a86a05c1f658e2708|concept
G7 and the G20|3|organisation|8cb3bc020aed4d0a86a05c1f658e2708|concept
Disease X pandemic virus|4|condition|8cb3bc020aed4d0a86a05c1f658e2708|concept
new vaccines|3|object|8cb3bc020aed4d0a86a05c1f658e2708|concept
improved surveillance|2|condition|8cb3bc020aed4d0a86a05c1f658e2708|concept
non-pharmaceutical interventions|3|misc|8cb3bc020aed4d0a86a05c1f658e2708|concept
One World Vaccine Library|5|concept|f5b55f34587246179c6c6d2bc0801141|concept
virus families|4|concept|f5b55f34587246179c6c6d2bc0801141|concept
pandemics|3|concept|f5b55f34587246179c6c6d2bc0801141|concept
100 Days Mission|2|event|f5b55f34587246179c6c6d2bc0801141|concept
pandemics|5|event|4160fb9924f24b5eb68e493cd9361060|concept
Dr. Richard Hatchett|4|person|4160fb9924f24b5eb68e493cd9361060|concept
Coalition for Epidemic Preparedness Innovations (CEPI)|5|organisation|4160fb9924f24b5eb68e493cd9361060|concept
Kate Kelland|3|person|4160fb9924f24b5eb68e493cd9361060|concept
Public Health Workforce|5|concept|732fe967002642599669103e63f2f22a|concept
COVID-19 pandemic|4|event|732fe967002642599669103e63f2f22a|concept
Public Health System|3|object|732fe967002642599669103e63f2f22a|concept
Essential health services|2|object|732fe967002642599669103e63f2f22a|concept
Routine immunisation|1|object|732fe967002642599669103e63f2f22a|concept
Disease outbreaks|2|event|732fe967002642599669103e63f2f22a|concept
limited availability of the health workforce|5|event|3dcdf4837b764370bb2cf1e2776825cc|concept
COVID-19 infections and deaths among health workers|4|event|3dcdf4837b764370bb2cf1e2776825cc|concept
mental health issues, including burnout|3|condition|3dcdf4837b764370bb2cf1e2776825cc|concept
poor working conditions|3|condition|3dcdf4837b764370bb2cf1e2776825cc|concept
protracted conflicts|2|event|3dcdf4837b764370bb2cf1e2776825cc|concept
global increase in climate-related and humanitarian disasters|2|event|3dcdf4837b764370bb2cf1e2776825cc|concept
public health crisis|3|event|3dcdf4837b764370bb2cf1e2776825cc|concept
reversals in life expectancy and Sustainable Development Goals|2|condition|3dcdf4837b764370bb2cf1e2776825cc|concept
Investing in the Public Health Workforce|5|concept|c9d7fdd45c4e4061ac050c6a21b2f583|concept
Essential Public Health Functiona (EPHF)|5|concept|c9d7fdd45c4e4061ac050c6a21b2f583|concept
Global investment|5|misc|c9d7fdd45c4e4061ac050c6a21b2f583|concept
G7 and G20 intergovernmental processes|4|event|c9d7fdd45c4e4061ac050c6a21b2f583|concept
World Health Organization (WHO)|5|organization|c9d7fdd45c4e4061ac050c6a21b2f583|concept
regional, and global bodies|5|organisation|525f8e57fb164f289fed4c4155309473|concept
G20|4|organisation|525f8e57fb164f289fed4c4155309473|concept
G7|4|organisation|525f8e57fb164f289fed4c4155309473|concept
COVID-19 pandemic|3|event|525f8e57fb164f289fed4c4155309473|concept
EPHFs (Emergency Public Health Functions)|2|concept|525f8e57fb164f289fed4c4155309473|concept
World Federation of Public Health Associations (WFPHA), International|2|organisation|525f8e57fb164f289fed4c4155309473|concept
Association of National Public Health Institutions (IANPHI)|4|organisation|99d0ffec664a4147b99327b232eec755|concept
Global Network Academic Schools of Public Health (GNASPH).|3|organisation|99d0ffec664a4147b99327b232eec755|concept
Global Health Summit|5|event|2106f61eb09845f7855d15da890e67ae|concept
Rome Declaration|4|document|2106f61eb09845f7855d15da890e67ae|concept
G20 Italia Declaration of Health Ministers|3|document|2106f61eb09845f7855d15da890e67ae|concept
health workforce|5|misc|5837ba13e7f942cf8b17ebfcaef29429|concept
COVID-19|4|event|5837ba13e7f942cf8b17ebfcaef29429|concept
G7 Summit|4|event|5837ba13e7f942cf8b17ebfcaef29429|concept
Carbis Bay Health Declaration|3|document|5837ba13e7f942cf8b17ebfcaef29429|concept
G7 Germany|2|event|5837ba13e7f942cf8b17ebfcaef29429|concept
pandemic preparedness and response|4|concept|1ef5b0e99e864a539d6ef6e41039de13|concept
G7 Pact for Pandemic Readiness|3|organisation|1ef5b0e99e864a539d6ef6e41039de13|concept
Berlin|2|place|1ef5b0e99e864a539d6ef6e41039de13|concept
low- and lower-middle income countries (LMICs)|3|concept|1ef5b0e99e864a539d6ef6e41039de13|concept
Public Health Workforce|4|concept|58263ccaef7b48289de7a0d400d6d13d|concept
pandemic preparedness and response|3|concept|58263ccaef7b48289de7a0d400d6d13d|concept
WHO|4|organisation|58263ccaef7b48289de7a0d400d6d13d|concept
Strengthening the Global Architecture for Health Emergency Preparedness and Response (HEPR)|3|document|58263ccaef7b48289de7a0d400d6d13d|concept
G7 Roadmap|2|document|58263ccaef7b48289de7a0d400d6d13d|concept
International Health Regulation (IHR 2005)|3|document|58263ccaef7b48289de7a0d400d6d13d|concept
G7 Pact|2|misc|58263ccaef7b48289de7a0d400d6d13d|concept
Pandemic Fund|3|object|58263ccaef7b48289de7a0d400d6d13d|concept
Impact Investment Initiative for Global Health|3|event|7cb2165fcdc945c6ae0860e59f189275|concept
United Nations' three High-Level Meetings|4|event|7cb2165fcdc945c6ae0860e59f189275|concept
Global South|3|place|7cb2165fcdc945c6ae0860e59f189275|concept
non-communicable and communicable diseases|2|condition|7cb2165fcdc945c6ae0860e59f189275|concept
PPR|2|condition|7cb2165fcdc945c6ae0860e59f189275|concept
Essential health services|3|object|7cb2165fcdc945c6ae0860e59f189275|concept
Public health workforce|4|organisation|7cb2165fcdc945c6ae0860e59f189275|concept
G20 and the G7 processes|3|event|7cb2165fcdc945c6ae0860e59f189275|concept
12 essential public health functions|2|concept|7cb2165fcdc945c6ae0860e59f189275|concept
roadmap|4|plan|c758753adaf94ea9a1978600c51ad623|concept
national public health workforce capacity|5|concept|c758753adaf94ea9a1978600c51ad623|concept
EPHFs|4|event|c758753adaf94ea9a1978600c51ad623|concept
emergency preparedness and response|3|concept|c758753adaf94ea9a1978600c51ad623|concept
public health workforce|4|organisation|c758753adaf94ea9a1978600c51ad623|concept
Public Health Workforce|5|concept|b5e8fd8bf09244c9a74995e5e618f489|concept
occupations outside of the health sector|4|misc|b5e8fd8bf09244c9a74995e5e618f489|concept
Global partners|3|organisation|b5e8fd8bf09244c9a74995e5e618f489|concept
roadmap and action plan|4|document|b5e8fd8bf09244c9a74995e5e618f489|concept
standard EPHF|3|concept|b5e8fd8bf09244c9a74995e5e618f489|concept
whole-of-government and whole-of-society approach|4|misc|b5e8fd8bf09244c9a74995e5e618f489|concept
national stakeholders|3|organisation|b5e8fd8bf09244c9a74995e5e618f489|concept
existing national and global networks of partners|4|misc|b5e8fd8bf09244c9a74995e5e618f489|concept
country-based assessment|3|event|b5e8fd8bf09244c9a74995e5e618f489|concept
policy improvement|4|concept|b5e8fd8bf09244c9a74995e5e618f489|concept
workforce capacity and readiness|5|concept|0cb51c16f7fe42cb9f4ad07e5e6ab337|concept
national assessments and benchmarking|4|event|0cb51c16f7fe42cb9f4ad07e5e6ab337|concept
G20 support to invest in preparedness and national capacity|5|event|0cb51c16f7fe42cb9f4ad07e5e6ab337|concept
World Bank’s Pandemic Fund|4|organization|0cb51c16f7fe42cb9f4ad07e5e6ab337|concept
strengthening human resources|5|concept|0cb51c16f7fe42cb9f4ad07e5e6ab337|concept
countries prevent, prepare for, and respond to health emergencies|4|event|0cb51c16f7fe42cb9f4ad07e5e6ab337|concept
sustainable public health workforce capacity in LMICs|5|concept|0cb51c16f7fe42cb9f4ad07e5e6ab337|concept
alignment with the ongoing governance processes of IHR 2005 amendments and negotiations on a global pandemic accord|4|event|0cb51c16f7fe42cb9f4ad07e5e6ab337|concept
Intergovernmental Negotiating Body (INB) on a new WHO convention, agreement, or other international instruments on PPR (WHO CA+)|3|organization|0cb51c16f7fe42cb9f4ad07e5e6ab337|concept
WHO|3|organisation|503ecc2f98c64e4ba8733349b9834adc|concept
convention, agreement, international instrument|4|event|503ecc2f98c64e4ba8733349b9834adc|concept
PPR (WHO CA+)|3|condition|503ecc2f98c64e4ba8733349b9834adc|concept
International Health Regulation|2|document|503ecc2f98c64e4ba8733349b9834adc|concept
amendments|3|event|503ecc2f98c64e4ba8733349b9834adc|concept
Accelerating Global Health|4|concept|0ed58dcdb4a043718b2c6e0652992e78|concept
Pathways to Health Equity for the G20|4|concept|0ed58dcdb4a043718b2c6e0652992e78|concept
Role of India's G20 Presidency|3|event|0ed58dcdb4a043718b2c6e0652992e78|concept
intergovernmental consensus and commitment for public health strengthening|4|concept|0ed58dcdb4a043718b2c6e0652992e78|concept
public health workforce needs|3|concept|0ed58dcdb4a043718b2c6e0652992e78|concept
G20 in India|3|event|0ed58dcdb4a043718b2c6e0652992e78|concept
SDGs and global health architecture for PPR|4|concept|0ed58dcdb4a043718b2c6e0652992e78|concept
Indian presidency|3|event|0ed58dcdb4a043718b2c6e0652992e78|concept
multilateral investment|3|concept|0ed58dcdb4a043718b2c6e0652992e78|concept
LMICs|3|acronym|0ed58dcdb4a043718b2c6e0652992e78|concept
G20 stakeholders|3|concept|0ed58dcdb4a043718b2c6e0652992e78|concept
IHR amendments|4|concept|84f7c3515e664f558f550a928bdde5b8|concept
WHO CA+|3|organisation|84f7c3515e664f558f550a928bdde5b8|concept
Geneva|2|place|84f7c3515e664f558f550a928bdde5b8|concept
Public Health Workforce|5|concept|9788f3475aa54d1db48ff648f860e453|concept
Gender Inequality|4|concept|9788f3475aa54d1db48ff648f860e453|concept
Health Sector|3|organisation|9788f3475aa54d1db48ff648f860e453|concept
World Health Organization|4|organisation|9788f3475aa54d1db48ff648f860e453|concept
Public health and emergency workforce roadmap|3|document|9788f3475aa54d1db48ff648f860e453|concept
International Association of National Public Health Institutes (IANPHI)|3|organisation|9e0d4b33f8d34f858eb42aa765c93415|concept
ASPPH|2|organisation|9e0d4b33f8d34f858eb42aa765c93415|concept
Competency based education, Public health and emergency workforce roadmap|3|concept|9e0d4b33f8d34f858eb42aa765c93415|concept
emergencies|2|event|9e0d4b33f8d34f858eb42aa765c93415|concept
Public health|3|concept|9e0d4b33f8d34f858eb42aa765c93415|concept
One Health|5|concept|c347385c32c941ca9500d586d9b9e88e|concept
World Health Organization|3|organisation|c347385c32c941ca9500d586d9b9e88e|concept
Food and Agriculture Organization|2|organisation|c347385c32c941ca9500d586d9b9e88e|concept
United Nations Environment Programme|2|organisation|c347385c32c941ca9500d586d9b9e88e|concept
World Organisation for Animal Health|2|organisation|c347385c32c941ca9500d586d9b9e88e|concept
One Health|5|concept|2dd90976e41d4112a2f6e029eb90b1e3|concept
pandemic prevention, preparedness, and response|4|concept|2dd90976e41d4112a2f6e029eb90b1e3|concept
domestic health systems|3|object|2dd90976e41d4112a2f6e029eb90b1e3|concept
India|4|place|2dd90976e41d4112a2f6e029eb90b1e3|concept
Multisectoral inclusivity|3|concept|e2379daababe407ba77deb9138fedacf|concept
OH concept|4|concept|e2379daababe407ba77deb9138fedacf|concept
Antimicrobial Resistance (AMR)|5|condition|e2379daababe407ba77deb9138fedacf|concept
Antimicrobial Resistance (AMR)|5|concept|d33d167928ec4c02a898302812a56a09|concept
WHO|4|organisation|d33d167928ec4c02a898302812a56a09|concept
Global Public Health Threats|3|concept|d33d167928ec4c02a898302812a56a09|concept
2050|4|event|d33d167928ec4c02a898302812a56a09|concept
10 million deaths|3|condition|d33d167928ec4c02a898302812a56a09|concept
